"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"162",9,0.5,0.889111111111111,2,415,478,541,542,0.480504684761732,-0.0667539696795862,-0.0817267105714319,0.433646812957158,0.469087340529931
"163",9,0.5,0.889111111111111,3,323,229,324,267,0.665413614491066,0.227605147520402,0.24358550882045,0.547457627118644,0.414104882459313
"164",9,0.5,0.889111111111111,4,1184,1337,1850,1857,0.562590315990015,-0.0519759680759351,-0.0774920178257956,0.389345609996712,0.419516786946972
"165",9,0.5,0.889111111111111,5,237,219,304,309,0.526274872355178,0.0263700115673801,0.0353123411670743,0.434065934065934,0.418738049713193
"166",9,0.5,0.889111111111111,6,375,247,345,211,0.690538234480214,0.382143740416481,0.348009009009009,0.639931740614334,0.41722972972973
"167",9,0.5,0.889111111111111,7,300,256,340,323,0.579443480883795,0.0911717495987158,0.108008948545861,0.481540930979133,0.429530201342282
"168",9,0.5,0.889111111111111,8,303,271,518,462,0.574998550328454,0.0801271860095388,0.132816323457441,0.396078431372549,0.343472750316857
"169",9,0.5,0.889111111111111,9,450,226,308,72,0.807438977140643,0.760859829825347,0.509063670411985,0.862068965517241,0.423220973782772
"170",9,0.5,0.889111111111111,10,300,300,326,345,0.448575921935755,-0.0271080039948639,-0.0303514376996805,0.465116279069767,0.479233226837061
"171",9,0.5,0.889111111111111,11,1168,666,1226,687,0.712855946160027,0.428464139510955,0.440945473370211,0.629649595687332,0.352008456659619
"172",9,0.5,0.889111111111111,12,604,327,473,174,0.711846079691517,0.621732963037441,0.473497516556291,0.776349614395887,0.40875
"173",9,0.5,0.889111111111111,13,306,234,304,146,0.623392111063592,0.428359338612017,0.357533347911655,0.676991150442478,0.434944237918216
"174",9,0.5,0.889111111111111,14,233,235,343,321,0.415096873321425,0.0235972676847943,0.0332952165971159,0.42057761732852,0.406574394463668
"175",9,0.5,0.889111111111111,15,204,167,250,213,0.587276941037098,0.148,0.181372549019608,0.489208633093525,0.400479616306954
"176",9,0.5,0.889111111111111,16,910,485,580,93,0.898981459377735,0.82974352803658,0.498060155806635,0.907278165503489,0.455399061032864
"177",9,0.5,0.889111111111111,17,306,175,299,149,0.666043028701257,0.480862949759271,0.451028653374149,0.672527472527473,0.369198312236287
"178",9,0.5,0.889111111111111,18,1582,956,1331,651,0.726990754221127,0.499066155741199,0.409970166117842,0.70846394984326,0.418014866637516
"179",9,0.5,0.889111111111111,19,411,274,521,358,0.685074138593779,0.289627579252663,0.355136268343816,0.53446033810143,0.344654088050314
"180",9,0.5,0.889111111111111,20,196,127,190,129,0.662902208201893,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"181",10,0.5,1,1,260,150,250,141,0.668497506234414,0.437406483790524,0.421634615384615,0.648379052369077,0.375
"182",10,0.5,1,2,416,478,541,541,0.479874033899278,-0.06478578892372,-0.0791264059787122,0.434691745036573,0.469087340529931
"183",10,0.5,1,3,323,229,324,267,0.66611855211941,0.227605147520402,0.24358550882045,0.547457627118644,0.414104882459313
"184",10,0.5,1,4,1184,1338,1849,1857,0.562301614366238,-0.0525449112712169,-0.0782979206065182,0.389345609996712,0.41983056165673
"185",10,0.5,1,5,237,219,304,309,0.527195876144251,0.0263700115673801,0.0353123411670743,0.434065934065934,0.418738049713193
"186",10,0.5,1,6,375,247,345,211,0.690555529932663,0.382143740416481,0.348009009009009,0.639931740614334,0.41722972972973
"187",10,0.5,1,7,301,256,340,322,0.580299912740905,0.0939854593522803,0.110972373965975,0.48314606741573,0.429530201342282
"188",10,0.5,1,8,303,271,518,462,0.575154286471665,0.0801271860095388,0.132816323457441,0.396078431372549,0.343472750316857
"189",10,0.5,1,9,450,228,306,72,0.806743008021582,0.759296822177147,0.504719101123595,0.862068965517241,0.426966292134832
"190",10,0.5,1,10,300,300,326,345,0.448682418208386,-0.0271080039948639,-0.0303514376996805,0.465116279069767,0.479233226837061
"191",10,0.5,1,11,1171,666,1226,684,0.713579093131528,0.43095992929475,0.44237772237097,0.631266846361186,0.352008456659619
